Region,Vote_Type,Vote_Percentage
Yorkshire,Remain,48.66848186787179
Scotland,Leave,50.088181716211295
West Midlands,Leave,61.27239995461612
East Midlands,Remain,55.66424460434767
North East,Leave,50.83475005560799
East Midlands,Leave,62.605818609952266
Greater London,Remain,55.43465789566162
Wales,Remain,54.983258427452434
Yorkshire,Leave,56.56357683991917
Greater London,Remain,51.10347397037165
East Midlands,Remain,48.827461865874184
West Midlands,Remain,61.101144283428184
Wales,Remain,51.019456945243604
East Midlands,Remain,62.854446272548685
Greater London,Remain,57.65152117403166
Northern Ireland,Remain,54.47912368923201
South East,Leave,50.03047239877179
Greater London,Remain,45.42758384821483
Northern Ireland,Leave,49.32099388371702
Yorkshire,Leave,47.73063531383163
Greater London,Leave,48.51977009901444
North East,Leave,51.25192155849106
Yorkshire,Remain,60.16510717923639
West Midlands,Leave,53.40351620365135
Greater London,Remain,63.71040160103324
Greater London,Remain,50.45475552654993
South East,Leave,48.85382983004433
Scotland,Leave,43.76341200240935
Wales,Leave,60.081584064691576
Wales,Leave,51.37651957402062
Wales,Leave,64.89474332520632
Yorkshire,Leave,51.37139599043203
South East,Remain,54.78283087776309
Wales,Remain,43.47113311353674
North East,Leave,51.28244629353349
Yorkshire,Leave,52.436209809018564
Scotland,Remain,47.96953737848026
North East,Leave,52.75759929882691
West Midlands,Leave,69.67299828663545
Greater London,Remain,65.8599634595614
Wales,Remain,50.53523754822959
Yorkshire,Remain,57.817949887628856
Wales,Leave,65.2859547292394
Wales,Leave,68.90827771517746
North East,Remain,61.320461770629855
Yorkshire,Remain,49.91637108601113
Northern Ireland,Leave,47.83423347740098
East Midlands,Remain,63.278763685603295
East Midlands,Leave,59.287434852852286
West Midlands,Remain,50.58968213051895
Greater London,Remain,52.45120842278031
East Midlands,Leave,56.15932710460639
Wales,Leave,49.03811040226205
Yorkshire,Leave,55.83522499918877
South East,Leave,67.20931865769143
East Midlands,Leave,51.3834104105046
West Midlands,Remain,50.02849203243664
Greater London,Remain,57.461780055851264
North East,Remain,40.500270931019216
North East,Leave,47.71513267429831
West Midlands,Remain,61.7007676537615
Greater London,Remain,46.39592539196899
Yorkshire,Remain,66.67904313401908
Greater London,Leave,44.545036304256996
Yorkshire,Remain,40.46799284262325
South East,Remain,50.75712273806901
South East,Leave,67.738725204104
South East,Leave,42.7267856390822
Yorkshire,Remain,62.098792599468716
Greater London,Remain,58.07156473832075
Northern Ireland,Leave,50.050466977799914
West Midlands,Leave,68.30625352492248
East Midlands,Remain,64.31024803433786
North East,Leave,49.14574828433852
Greater London,Remain,48.99873302619632
South East,Leave,67.87637625099461
South East,Leave,61.96442516916743
Greater London,Leave,43.411341273884524
Scotland,Remain,60.65367287941112
Greater London,Remain,64.4228478723127
North East,Remain,43.93117841994902
Northern Ireland,Remain,61.65739295547567
West Midlands,Leave,47.554597651266725
West Midlands,Leave,46.0663313312919
East Midlands,Leave,68.66219511095589
Yorkshire,Remain,59.462487814950904
East Midlands,Leave,59.325923928213506
Northern Ireland,Remain,47.703475735821236
South East,Remain,65.26391812612049
East Midlands,Remain,60.23076325541598
Scotland,Remain,61.90251251982677
Yorkshire,Remain,69.03017640124972
North East,Leave,41.25200251151484
North East,Leave,43.39071733112681
Yorkshire,Leave,47.82424545433904
Wales,Leave,59.52656286201483
Northern Ireland,Leave,67.34204688407345
Wales,Leave,65.7513081166064
West Midlands,Leave,45.2219070044609
North East,Leave,40.631425086720206
West Midlands,Leave,41.209401320684584
South East,Remain,63.04036914412747
Northern Ireland,Leave,40.45628637831764
Scotland,Remain,69.71625865075889
North East,Remain,52.78455477703194
Greater London,Remain,67.11922713219005
South East,Remain,55.53904250750688
Scotland,Leave,55.203480321953805
East Midlands,Leave,64.49529503961374
West Midlands,Leave,55.01891700174327
East Midlands,Remain,40.637144699773586
Northern Ireland,Remain,63.541393553207556
Scotland,Leave,46.506949085700235
North East,Leave,58.69744276306059
Northern Ireland,Remain,61.652124982397204
West Midlands,Remain,40.11722755474346
Scotland,Leave,54.72581178566984
Greater London,Leave,60.61047436178174
Scotland,Leave,63.607515414167906
Northern Ireland,Remain,63.21463048723839
North East,Leave,48.922736013963615
Greater London,Leave,49.03134397364107
Greater London,Leave,47.39051460050602
Wales,Leave,60.70854789515735
South East,Leave,65.11373732315151
North East,Remain,56.1254009795349
Greater London,Remain,64.50851899547024
Wales,Leave,40.22260138517258
North East,Remain,58.351631749318784
East Midlands,Leave,58.68808782600087
Northern Ireland,Remain,45.72418137574303
South East,Remain,59.28359661920294
Northern Ireland,Remain,40.9797147989347
West Midlands,Remain,48.11644826855307
South East,Remain,48.591732270098035
Greater London,Remain,62.7720825475203
Scotland,Leave,49.72311282512008
South East,Leave,48.58540854859785
South East,Remain,40.82025958720234
North East,Remain,64.47893310648729
Northern Ireland,Remain,57.774904355678004
North East,Remain,53.47933969068794
Wales,Remain,63.398878820848864
Wales,Remain,48.50861156567055
Yorkshire,Remain,60.72220793465162
East Midlands,Leave,54.83871952494716
West Midlands,Leave,60.97832566384096
North East,Leave,64.62769528743107
Scotland,Remain,57.80641749869749
East Midlands,Leave,63.21170680923767
Northern Ireland,Remain,60.40544915197124
East Midlands,Remain,51.80801073307269
Wales,Remain,42.93372733623096
Scotland,Leave,67.5645356658114
West Midlands,Leave,50.584695360842055
North East,Remain,55.340118047720075
Yorkshire,Remain,56.75057029550747
South East,Remain,57.32983059446575
North East,Remain,53.056870134537306
Scotland,Leave,67.22214778317066
East Midlands,Leave,44.27477431372832
Northern Ireland,Remain,68.44784222909364
Wales,Leave,65.32063431160876
Wales,Remain,64.46934992719635
Greater London,Leave,62.44688310913024
Northern Ireland,Leave,45.61064595311703
West Midlands,Remain,68.24618096738442
Wales,Remain,60.171149705167345
Yorkshire,Remain,52.045013331496634
Northern Ireland,Leave,62.58044201630277
Yorkshire,Leave,42.32749662574681
Scotland,Leave,59.93587858384838
East Midlands,Leave,52.099326350557334
Scotland,Remain,55.8527401483381
Greater London,Remain,42.12464382238191
Northern Ireland,Remain,47.25561779787965
Northern Ireland,Remain,50.12115711600039
West Midlands,Leave,41.677224963371565
Greater London,Leave,53.306689786212615
Yorkshire,Remain,40.380663753459935
Scotland,Remain,57.54166506939838
East Midlands,Leave,63.96413386345296
East Midlands,Remain,40.536201595840446
West Midlands,Remain,53.228840747030624
West Midlands,Leave,57.16248331301682
Yorkshire,Leave,64.41146205218638
South East,Leave,58.691964832336765
Greater London,Remain,66.372070134213
South East,Leave,48.84850158451552
West Midlands,Remain,57.5683161178346
Northern Ireland,Leave,57.26901566655522
West Midlands,Remain,45.251471037560925
East Midlands,Remain,60.734067864674444
South East,Leave,56.691213714879346
Greater London,Remain,43.49973951101608
Northern Ireland,Remain,58.41677596717038
South East,Remain,43.05986796867979
East Midlands,Leave,57.36579161513844
Yorkshire,Remain,66.58775489701296
North East,Remain,65.91981660538727
Yorkshire,Remain,56.67106306009178
West Midlands,Leave,54.272508909139695
East Midlands,Leave,48.88479496737026
South East,Remain,53.024150522706314
Yorkshire,Leave,58.457778679766534
Wales,Leave,42.857418766056114
North East,Remain,55.8960060065864
Northern Ireland,Remain,46.94509536758562
Yorkshire,Leave,40.221280650015984
Scotland,Remain,44.953736570542624
South East,Remain,43.414881851471904
Scotland,Remain,63.68386963261675
Scotland,Remain,58.83063912069863
South East,Leave,68.5102790955888
Northern Ireland,Leave,56.47197945658731
North East,Leave,58.424141182203854
Scotland,Remain,57.29279455933496
Greater London,Remain,63.33176882221403
North East,Remain,42.13114892509997
North East,Remain,40.30350679249142
Northern Ireland,Remain,66.74591640894269
Yorkshire,Remain,55.23167338722511
Wales,Leave,58.283342599211764
Wales,Remain,42.21959248838547
West Midlands,Leave,52.516617849318116
Greater London,Remain,50.67664249055589
South East,Leave,54.409046386384816
West Midlands,Leave,48.568338067811936
Greater London,Leave,67.34991916761997
East Midlands,Remain,57.335314252316934
North East,Remain,45.667943325614345
East Midlands,Leave,63.275319936247215
Greater London,Remain,60.214833058511964
Wales,Leave,67.62850793848091
West Midlands,Leave,68.8810426026146
Northern Ireland,Remain,67.40190638439338
East Midlands,Leave,57.28406333735322
Northern Ireland,Leave,58.70317174883179
North East,Remain,43.7075612525252
Northern Ireland,Leave,68.99532985621295
Yorkshire,Remain,44.25806050826953
Northern Ireland,Remain,52.729391538604276
South East,Remain,56.9618003721185
Yorkshire,Remain,55.85970115896896
Greater London,Remain,51.14577999618606
Scotland,Remain,56.51530060487994
Wales,Leave,46.98805957273851
Scotland,Remain,43.614482609771834
Greater London,Remain,43.36168892979034
West Midlands,Remain,52.272510427965855
West Midlands,Remain,50.82470244722572
Northern Ireland,Leave,62.23472365988443
Northern Ireland,Leave,68.68340505566478
Wales,Remain,52.28116725664991
Wales,Remain,47.74753207787577
Greater London,Leave,49.90695854979438
Scotland,Leave,44.0770612685971
Greater London,Leave,60.254972225055205
North East,Leave,42.651935542606665
West Midlands,Leave,44.24565705522903
Greater London,Leave,45.63263576714215
Northern Ireland,Remain,45.61383284543936
Scotland,Remain,66.58531301442439
Greater London,Remain,69.3032401744958
Greater London,Remain,53.158582453554956
Greater London,Leave,68.91252982376916
East Midlands,Remain,40.96109391377617
West Midlands,Remain,54.20293230312204
Scotland,Remain,53.49043644517519
Northern Ireland,Leave,47.39450922558635
Yorkshire,Leave,51.457734966462766
North East,Leave,56.34600719779857
West Midlands,Remain,54.48109333500052
Wales,Leave,44.12811655994834
Northern Ireland,Remain,68.96341709115407
Greater London,Leave,46.835331599342695
Wales,Leave,46.744462351364895
Yorkshire,Leave,50.38555809795352
North East,Leave,68.41754345011661
Wales,Leave,57.908447587482456
North East,Leave,48.441383946450685
Greater London,Remain,58.44940001917705
South East,Leave,58.33716086401039
South East,Leave,69.4845534038783
North East,Remain,59.391498081473145
Wales,Remain,52.93056053920691
Wales,Leave,61.19949195518937
Wales,Remain,41.001138022720454
Greater London,Remain,64.40258153979505
Scotland,Leave,57.31944652186664
Scotland,Remain,57.59021163407682
West Midlands,Remain,46.9793024247512
Yorkshire,Leave,68.43697751235439
Wales,Remain,52.260826457792085
West Midlands,Remain,40.217523981584385
North East,Leave,49.72964325299078
Scotland,Leave,64.47780211621794
West Midlands,Remain,60.133639254131054
North East,Remain,58.63078510360376
Wales,Remain,51.97863948356679
Northern Ireland,Leave,61.2500813680704
Wales,Leave,54.95841323038899
North East,Remain,53.505319105151145
Yorkshire,Leave,63.917300450275306
Greater London,Remain,55.81967205672665
Northern Ireland,Leave,59.95642899831172
Wales,Remain,63.99204510735282
West Midlands,Remain,55.26283633888609
West Midlands,Remain,66.71382287323287
Greater London,Remain,44.49059996242185
Scotland,Leave,43.073519731395876
South East,Remain,59.54137524503817
Scotland,Leave,40.67307902744534
East Midlands,Remain,67.21697986071206
West Midlands,Remain,61.61194003091795
West Midlands,Remain,51.874894615161566
Northern Ireland,Remain,51.2039612500865
Scotland,Remain,50.604624245395634
East Midlands,Remain,45.51813157222989
Greater London,Leave,46.35770405352764
West Midlands,Leave,63.85570593444222
Wales,Leave,58.60096204745786
West Midlands,Remain,40.29512229282026
Scotland,Remain,57.62168492256997
Yorkshire,Remain,60.87522679990602
Yorkshire,Remain,52.885352558796356
East Midlands,Remain,41.49817192477985
West Midlands,Remain,56.527299658842296
West Midlands,Leave,47.99615860218577
Scotland,Leave,64.40850062849498
West Midlands,Leave,46.396382978618135
South East,Remain,67.6654496682022
Wales,Leave,67.54117766204365
Scotland,Remain,64.53541892660752
Scotland,Leave,52.083082180012944
Scotland,Leave,54.897185799921886
South East,Remain,64.5814358279401
Greater London,Remain,69.83742965642467
South East,Remain,50.85057369656292
South East,Remain,61.7766685152216
Wales,Remain,66.4008475035345
West Midlands,Remain,47.45968101531178
Yorkshire,Remain,42.34158308995822
East Midlands,Leave,64.02320961992855
East Midlands,Remain,45.294195344535495
Wales,Leave,47.298478758021815
Wales,Remain,57.24090103782704
Scotland,Remain,64.46093433093156
South East,Remain,59.836397379997784
Scotland,Leave,69.81480951919228
East Midlands,Remain,49.312876074930756
North East,Leave,41.47323569051311
Yorkshire,Leave,40.686649404736265
Northern Ireland,Remain,68.88416527665859
South East,Leave,65.34948335286614
Greater London,Leave,62.35684572966095
Northern Ireland,Leave,67.03711394631615
Northern Ireland,Remain,60.91034321111236
Yorkshire,Leave,42.851172957494576
South East,Leave,53.97063415714803
Wales,Remain,44.9008383446576
North East,Leave,40.4656484979682
East Midlands,Leave,43.55905849893183
North East,Remain,53.00624779202549
Northern Ireland,Leave,66.47958530770305
West Midlands,Leave,54.381856152974045
Scotland,Remain,59.84419557806514
Greater London,Leave,44.36038553175082
South East,Remain,56.787409774282786
East Midlands,Remain,59.05851008671267
South East,Leave,49.46027973850953
West Midlands,Remain,54.237291384007875
Scotland,Remain,61.12632953427321
East Midlands,Leave,61.436787872573376
North East,Remain,47.66008873660212
Yorkshire,Leave,63.4437168976969
Scotland,Leave,53.464272079247614
Yorkshire,Leave,54.61112826192894
South East,Remain,41.36305092472709
Northern Ireland,Remain,52.35595459304209
Yorkshire,Remain,51.71634567881593
Northern Ireland,Leave,63.10290187100247
Yorkshire,Remain,57.965367600684125
Scotland,Leave,46.840447061499034
North East,Remain,66.26351639017533
Greater London,Remain,63.60548303025584
Wales,Remain,48.51406700236751
Scotland,Leave,67.14562760166697
Scotland,Remain,64.94855410622863
East Midlands,Remain,56.39859855800066
East Midlands,Remain,69.05182751574937
North East,Leave,46.200038519644984
South East,Leave,53.33372258769104
South East,Leave,67.28383225225114
North East,Remain,68.38770879605906
South East,Remain,58.79678395581844
Yorkshire,Remain,56.00399437736681
Greater London,Remain,40.71193973766917
Wales,Remain,58.778331590305314
Wales,Leave,42.609578843778635
Northern Ireland,Remain,68.14371678813157
Northern Ireland,Leave,57.20635807891029
Wales,Remain,62.00387337947999
Northern Ireland,Remain,69.59685284595736
Wales,Leave,56.44543034356981
Wales,Remain,64.58530275396296
Scotland,Leave,65.7703216275339
North East,Leave,41.770917267849235
Wales,Remain,69.98521030129852
Wales,Leave,68.8994981948533
Scotland,Leave,56.88473682695125
South East,Leave,60.21086491145941
West Midlands,Leave,47.20865650509806
Wales,Remain,59.81734391166208
Greater London,Leave,63.465093313801795
North East,Leave,46.739139466653356
West Midlands,Leave,51.171060594397076
South East,Remain,62.380447992192
East Midlands,Remain,54.07616392290113
Northern Ireland,Leave,65.00816554509794
Greater London,Leave,42.44983812292035
Wales,Remain,41.49070508870242
Yorkshire,Remain,64.8920991467487
North East,Remain,40.676455677491006
Scotland,Remain,56.00637847403982
North East,Leave,51.11417643522698
Greater London,Remain,59.96992116608019
South East,Remain,51.16262462503452
Wales,Leave,46.28627998896577
North East,Leave,64.55066725656238
Wales,Remain,48.59491952033726
Scotland,Leave,62.33149091943173
Yorkshire,Leave,62.731039807317885
Greater London,Leave,55.15255274266568
North East,Remain,47.795448198027
Northern Ireland,Leave,59.81356054282992
North East,Leave,61.493616894750645
North East,Leave,49.18349647130554
North East,Remain,69.98176023517628
Wales,Remain,46.14359750116034
Northern Ireland,Leave,58.97096254633341
Greater London,Leave,48.520992311400406
South East,Leave,50.232556542484126
West Midlands,Remain,56.99400294402399
Northern Ireland,Leave,53.430033522944754
Greater London,Remain,66.43263900775823
East Midlands,Remain,69.57575183653267
North East,Leave,62.1593676234801
West Midlands,Leave,59.576959077856685
North East,Leave,67.40787446132835
North East,Leave,62.40594247403103
Greater London,Leave,62.899792900194456
South East,Remain,64.19818722181087
East Midlands,Remain,40.55227861064845
East Midlands,Remain,67.5957461198171
Yorkshire,Remain,68.97525347558106
North East,Leave,64.38145398811795
South East,Remain,43.14539465220256
Scotland,Leave,67.46261079837846
South East,Remain,48.10911178915495
Scotland,Remain,50.65415617106474
Northern Ireland,Leave,55.6887542457406
South East,Leave,56.46518392224962
South East,Leave,56.3532993986414
Greater London,Leave,51.83738263110186
West Midlands,Leave,48.66782955311841
Northern Ireland,Leave,45.089404796916405
Greater London,Remain,67.12514205441937
Greater London,Remain,42.97535137727246
North East,Leave,40.57467816342117
Yorkshire,Remain,51.82851819722664
Wales,Leave,43.613202640677365
West Midlands,Remain,50.76689070883078
Northern Ireland,Remain,43.98606708002729
Wales,Remain,65.42651818984758
West Midlands,Remain,53.481475364778795
Greater London,Leave,65.43801591758891
Wales,Remain,42.22259394680083
Greater London,Remain,45.69995037803234
West Midlands,Remain,40.97812401766236
South East,Remain,67.42208688149172
Greater London,Remain,68.27354127253209
West Midlands,Leave,45.14395190620085
Greater London,Leave,50.548608090030996
South East,Leave,67.6949661076109
Northern Ireland,Leave,62.83613289908524
Scotland,Remain,65.30708728210746
Northern Ireland,Leave,41.64632443684802
South East,Leave,52.55940287677557
North East,Remain,45.66849600240677
West Midlands,Remain,47.58815688036192
Scotland,Remain,46.79210373214949
South East,Remain,60.847149032127305
East Midlands,Remain,57.625847898583565
East Midlands,Leave,62.82046391374746
South East,Leave,64.04009593472495
West Midlands,Remain,69.85618623582744
Wales,Leave,53.38946331691456
North East,Leave,51.22217697628445
Scotland,Leave,55.49616657841058
North East,Remain,40.45443872381299
Scotland,Leave,60.468146294377135
North East,Remain,53.858546999716616
North East,Leave,50.49651540602724
Scotland,Remain,43.20625481014986
North East,Leave,56.961860223847594
West Midlands,Remain,52.244639944469796
North East,Remain,52.07215589183851
North East,Leave,61.556760488591905
South East,Remain,41.625688139674594
Greater London,Remain,47.48126319900601
Yorkshire,Remain,68.93126657193832
West Midlands,Remain,69.999505810051
East Midlands,Remain,65.12282742491189
Yorkshire,Remain,41.83915086683993
North East,Remain,58.33002152661096
North East,Remain,67.16808261901068
Wales,Leave,52.566327644253974
North East,Leave,45.60632367869768
Yorkshire,Leave,61.038436976320824
South East,Leave,51.84968110353025
Scotland,Leave,65.3933355678472
Scotland,Leave,69.24411208719896
Northern Ireland,Remain,68.63484075729848
South East,Leave,61.33624065310253
East Midlands,Leave,49.36937842214886
Yorkshire,Remain,67.20550485898983
North East,Leave,50.15394538893616
Northern Ireland,Leave,52.776837298592014
Yorkshire,Remain,42.96848496117901
East Midlands,Remain,53.99787049746012
Scotland,Leave,46.85130532071949
South East,Remain,59.74152541815379
Yorkshire,Leave,46.98717509959613
West Midlands,Remain,56.218441710162764
Northern Ireland,Remain,57.15135748953313
Wales,Leave,51.87218840081046
West Midlands,Leave,41.57496243655988
East Midlands,Remain,60.75509577128571
North East,Remain,51.99427501650318
North East,Remain,47.56545369222406
South East,Remain,50.92302679634646
Greater London,Leave,42.52605448534676
Scotland,Remain,69.83103647526693
South East,Leave,63.17416108361075
South East,Remain,59.116211186295274
Northern Ireland,Remain,56.31307378339936
Wales,Remain,41.82348860856369
Northern Ireland,Leave,41.06771511598229
Wales,Leave,62.08716344107186
West Midlands,Leave,45.65031464607325
Greater London,Remain,54.54310133643411
Wales,Leave,64.45384872395107
West Midlands,Remain,66.07139244386511
Greater London,Leave,47.37266785581358
Greater London,Leave,57.41470998298849
East Midlands,Remain,59.31391898763161
Yorkshire,Leave,42.379662204840734
North East,Leave,59.95995179579449
Greater London,Remain,66.85315151860536
Greater London,Leave,57.81952720009514
East Midlands,Leave,59.26078414347665
Yorkshire,Remain,49.14735083407933
West Midlands,Leave,48.35585321780216
Greater London,Leave,44.874092068769485
South East,Remain,59.34724948496559
North East,Leave,61.15490954645635
South East,Leave,68.42251098175386
South East,Leave,40.71567326423846
North East,Leave,65.88228252284492
Wales,Leave,54.11048265964372
North East,Remain,58.67058487455111
South East,Leave,49.16230939884815
South East,Remain,57.00630766733215
West Midlands,Leave,69.51570496451917
East Midlands,Remain,66.84385429816223
Scotland,Remain,43.53970414428363
East Midlands,Remain,69.5105666371881
South East,Remain,52.80665005880047
Wales,Remain,57.02413836467151
Northern Ireland,Leave,63.16437570543115
East Midlands,Remain,48.9937016075605
Greater London,Remain,48.78306337337485
North East,Remain,42.56464213192397
Yorkshire,Remain,58.05547200112206
Wales,Leave,67.7027082713474
South East,Remain,65.77479700984117
East Midlands,Leave,61.37518131015135
West Midlands,Remain,44.87059434788203
Northern Ireland,Remain,68.51231619713015
North East,Remain,41.38415731520399
Scotland,Remain,62.59991361572051
West Midlands,Remain,59.38129838535508
Scotland,Remain,62.08187403393805
West Midlands,Leave,59.18756405233451
North East,Remain,43.1973797063899
East Midlands,Remain,69.54436813880896
Greater London,Leave,46.97625788725864
South East,Remain,55.84933000877328
South East,Remain,69.11282372524273
West Midlands,Leave,60.71993649805047
Yorkshire,Leave,57.06018539510765
Northern Ireland,Remain,63.25217686819718
East Midlands,Remain,44.87507579663881
Northern Ireland,Leave,42.658901762682234
Scotland,Leave,68.39929613510125
Yorkshire,Leave,56.76215545379793
South East,Remain,51.99798373711439
Yorkshire,Leave,46.875769219697304
West Midlands,Leave,52.08270695765827
North East,Remain,56.222823821937766
Yorkshire,Leave,56.557486390593226
Scotland,Remain,62.068656067252554
Greater London,Remain,67.07689711081703
Greater London,Remain,66.33080588599064
North East,Remain,64.30832819132044
Wales,Leave,42.297001130337264
Northern Ireland,Leave,40.70767928768465
North East,Remain,48.01561301304075
East Midlands,Remain,40.000297281543844
Scotland,Remain,40.152797298629906
North East,Leave,51.661960034847745
South East,Remain,47.349368152787775
Northern Ireland,Remain,46.155930221654685
South East,Leave,62.74300926445676
Wales,Remain,61.07930164282215
Yorkshire,Remain,59.43016972090604
Yorkshire,Leave,52.08868151092897
West Midlands,Remain,61.83100962162486
Yorkshire,Remain,63.67911754295125
Greater London,Remain,56.38833271578375
North East,Remain,51.54297057676003
North East,Leave,64.16489650133772
Scotland,Leave,62.41612446387646
Wales,Leave,43.682096469479966
Yorkshire,Leave,66.58757470942476
West Midlands,Leave,62.257459807155314
Yorkshire,Remain,44.18566335511487
East Midlands,Leave,69.25561121272749
Northern Ireland,Leave,65.1605419510549
East Midlands,Leave,67.69207290491329
Yorkshire,Leave,49.281608763715376
West Midlands,Remain,49.96024032076896
South East,Remain,42.89385356483976
South East,Leave,60.66393896299636
Scotland,Remain,53.296789491693254
South East,Leave,53.194517071958295
Scotland,Remain,62.88241439124451
Yorkshire,Leave,40.88216691930392
North East,Leave,49.13957594304186
Greater London,Remain,47.83354965506612
North East,Leave,65.2323297017951
Scotland,Remain,57.60131708824525
South East,Remain,43.73744862179419
West Midlands,Leave,66.88173042197518
West Midlands,Leave,59.621614756799815
Wales,Remain,58.66573967544509
Northern Ireland,Leave,51.507037350951194
East Midlands,Remain,67.00320451570282
Northern Ireland,Remain,41.2813844619167
Yorkshire,Leave,57.81502016034395
Scotland,Leave,57.03554069650538
South East,Leave,61.52407353570796
Wales,Leave,56.30023148905746
Wales,Remain,61.93781961619425
Northern Ireland,Remain,66.63449155605751
East Midlands,Leave,64.08527056540521
South East,Remain,40.68390600347962
Wales,Leave,61.605749114996115
East Midlands,Leave,67.09327238815129
North East,Leave,50.08363506175425
East Midlands,Leave,57.18707640357688
Yorkshire,Leave,45.60610402070212
North East,Leave,61.71993391814854
West Midlands,Leave,69.4397476275891
West Midlands,Leave,47.89708891450944
Yorkshire,Remain,63.27202111821184
East Midlands,Leave,52.881509609198496
West Midlands,Leave,65.10288859717613
West Midlands,Leave,62.925735439014844
East Midlands,Leave,68.0848085620109
Yorkshire,Remain,51.02526988697325
Yorkshire,Leave,47.50114130600512
Northern Ireland,Leave,46.38646406627007
South East,Remain,52.95526660352522
East Midlands,Leave,63.72243537106013
North East,Remain,45.746693092832075
West Midlands,Leave,40.03701334444962
South East,Remain,57.184825760587785
East Midlands,Leave,69.32545804826911
West Midlands,Leave,69.4612785672557
Greater London,Leave,53.72152173132119
South East,Leave,53.42259594169401
East Midlands,Leave,53.15121105008648
Greater London,Leave,50.62828673791648
South East,Leave,57.719695328544844
Scotland,Leave,54.881173805686416
South East,Leave,48.1748756418353
Yorkshire,Leave,66.0223462186427
West Midlands,Remain,55.7667880667579
North East,Leave,67.75478843220603
Northern Ireland,Remain,48.43933288783484
Scotland,Remain,47.57751534643373
Wales,Leave,52.529856160992566
North East,Remain,54.764734374798635
South East,Remain,66.458207320558
Greater London,Leave,60.73718977767879
Scotland,Remain,45.457455353682874
South East,Remain,65.36089100874062
Yorkshire,Leave,41.768777140282744
Scotland,Remain,55.65844686771267
Northern Ireland,Leave,67.7851037192447
Wales,Leave,46.0950355721783
Greater London,Leave,46.28954095001675
Scotland,Remain,41.61132417384784
Scotland,Remain,65.48832486317418
Wales,Leave,45.89615083069744
Scotland,Leave,45.81829535016692
Scotland,Leave,50.194436182896155
West Midlands,Leave,43.34226539109032
West Midlands,Remain,69.81916147704855
Yorkshire,Remain,67.74384272446812
Scotland,Leave,66.51054676691017
Greater London,Leave,56.88918657035099
Wales,Remain,62.00187655398497
Greater London,Leave,52.08314320006646
Northern Ireland,Leave,50.515446411514745
Yorkshire,Remain,62.430885091691295
South East,Remain,40.3241261055693
Wales,Leave,43.67116650803461
West Midlands,Leave,62.2789992411615
Wales,Leave,59.65998270507829
North East,Leave,69.93348074885981
South East,Leave,53.10391671077189
Scotland,Remain,49.76051982059116
Greater London,Remain,43.85457996603452
Northern Ireland,Remain,43.885312375917216
Wales,Leave,66.42320430215332
East Midlands,Leave,41.464040042467055
Scotland,Leave,40.966942049174655
Scotland,Remain,41.3947478432002
Scotland,Leave,45.06398727021054
South East,Leave,55.9574656567987
South East,Remain,55.466932559335234
South East,Remain,64.82118975816377
Northern Ireland,Remain,66.36694977891828
Northern Ireland,Remain,52.352608251210384
Scotland,Leave,65.20428261606878
Yorkshire,Remain,68.61310906650053
