Region,Voter_Turnout_Percentage,Support_Type
Yorkshire,79.67878945698233,Remain
South East,60.584948938567365,Remain
Yorkshire,66.52467966140566,Leave
Greater London,67.18560146619322,Remain
Scotland,64.98220501635207,Leave
East Midlands,68.68252247043218,Remain
Yorkshire,64.28056122736942,Leave
North East,61.76513591923458,Remain
East Midlands,64.37708703744708,Remain
West Midlands,63.373232973952646,Leave
East Midlands,67.3346899235481,Leave
Northern Ireland,64.62130485421666,Leave
North East,68.70646360303247,Leave
North East,79.49378879166848,Remain
Wales,74.65063486290924,Remain
Northern Ireland,69.55311932017486,Remain
East Midlands,65.54505698399075,Remain
Scotland,65.588832185567,Remain
Yorkshire,71.79253069747217,Remain
Scotland,79.96578947765825,Remain
Scotland,79.85237473672382,Leave
West Midlands,64.50689302721813,Leave
Scotland,76.42039415585482,Leave
Wales,61.97605376101627,Leave
East Midlands,62.78443242575643,Remain
South East,71.83421761449293,Remain
Wales,65.46702682524129,Remain
North East,76.75961894111137,Remain
Northern Ireland,68.20702980370885,Leave
Wales,76.39232903686357,Remain
North East,78.60799349292759,Remain
Greater London,72.61946830933363,Leave
Greater London,77.66176853845393,Remain
Northern Ireland,68.66713832474896,Leave
North East,70.20119174980005,Leave
West Midlands,76.82018501127601,Remain
North East,72.9761479633556,Leave
Wales,73.7358266055763,Remain
South East,72.47159529008046,Leave
West Midlands,73.33136785454565,Remain
South East,73.34760314627951,Remain
South East,63.156492139412514,Leave
Northern Ireland,70.45995324331365,Leave
South East,66.43107404710261,Leave
East Midlands,73.08864014324,Leave
West Midlands,72.9064144085244,Remain
Scotland,77.82095416669482,Remain
Greater London,63.07925651609355,Leave
South East,67.13851817139901,Remain
Greater London,69.28624608693406,Leave
Wales,78.04333124309429,Remain
North East,71.38538468910531,Leave
North East,71.08362649582764,Leave
North East,69.87151442934022,Remain
Yorkshire,78.41616454213528,Leave
East Midlands,60.36034836990549,Leave
Scotland,75.22652882463868,Remain
Greater London,64.55944225966839,Remain
South East,62.021672011966636,Remain
Scotland,79.07996276737185,Leave
Northern Ireland,71.8116619899142,Remain
Wales,60.616680789887,Remain
West Midlands,65.19933581303837,Remain
West Midlands,65.60921793977703,Leave
Yorkshire,62.2530247305049,Leave
South East,67.9061441972382,Leave
Greater London,71.14869420120132,Leave
West Midlands,73.9650427889703,Leave
West Midlands,65.2219512807164,Remain
Yorkshire,65.43869999117356,Leave
South East,73.41114745822175,Leave
Northern Ireland,69.91261057403582,Remain
Scotland,68.16760057970092,Remain
South East,79.3087670683042,Remain
West Midlands,66.03131740509991,Remain
East Midlands,74.25267641608316,Leave
North East,71.34375374603509,Leave
Northern Ireland,72.21565695180045,Remain
West Midlands,68.35722192379214,Leave
West Midlands,76.07107461290337,Leave
East Midlands,63.592424865620224,Remain
Scotland,60.927476174647936,Remain
Northern Ireland,61.50763222710049,Remain
Northern Ireland,77.22600990158303,Leave
West Midlands,66.75747157398958,Remain
East Midlands,72.57652858760616,Leave
Scotland,77.5738683137757,Leave
East Midlands,64.07230905157407,Leave
Greater London,68.42154507779622,Leave
Wales,62.05873279377971,Remain
West Midlands,78.27452554997058,Remain
South East,71.32255522774201,Remain
North East,76.9186182590617,Leave
East Midlands,79.54502684998465,Remain
North East,69.43026751623627,Leave
South East,66.71903677221266,Leave
East Midlands,71.33236519937444,Remain
Northern Ireland,60.185611624899295,Leave
Yorkshire,79.41561586833994,Remain
South East,69.86428329481865,Remain
West Midlands,79.62484040512399,Remain
North East,64.17151696244343,Remain
West Midlands,68.84740999649605,Remain
Greater London,70.21368536119842,Leave
Northern Ireland,72.93244895144025,Remain
Northern Ireland,73.4080473752125,Remain
West Midlands,67.1844582133298,Leave
North East,68.5417716148016,Remain
East Midlands,77.72947540395815,Leave
Greater London,67.6701678539361,Remain
West Midlands,60.78673628734741,Remain
Greater London,63.30913502538762,Leave
Yorkshire,67.06873886410662,Remain
Yorkshire,68.51725164666986,Leave
West Midlands,72.19524820447131,Leave
Wales,68.30473137461168,Remain
South East,62.68178960206852,Remain
Greater London,78.59466820049592,Remain
Yorkshire,69.62340380953744,Leave
East Midlands,64.37130137705545,Leave
Yorkshire,67.85463174108179,Leave
West Midlands,64.64446160216222,Remain
South East,70.1927372734297,Leave
Wales,68.65147463646564,Leave
North East,68.166606541601,Leave
Northern Ireland,76.97191621912137,Remain
Scotland,71.51633739233385,Leave
East Midlands,75.77896455198567,Leave
Greater London,67.37588096156345,Remain
Yorkshire,73.30422114654513,Remain
North East,67.51230718463297,Remain
Wales,75.3093762942573,Leave
Yorkshire,64.11090303741138,Leave
Scotland,71.20586126894426,Remain
East Midlands,76.06762358494024,Remain
Yorkshire,69.39675630282342,Remain
Scotland,70.98177437735737,Remain
South East,61.58113159297995,Remain
North East,62.322487034191745,Remain
Northern Ireland,61.74655525958792,Remain
South East,67.29810955442521,Remain
Greater London,60.99881286882962,Remain
East Midlands,77.74931395419334,Leave
Wales,68.43895089082262,Remain
East Midlands,72.92437845160828,Remain
Yorkshire,72.77319604132796,Leave
West Midlands,69.90653929839799,Remain
Yorkshire,67.87931515000031,Remain
Yorkshire,68.2087024452426,Leave
Wales,64.13194644291671,Remain
Greater London,68.67149452326596,Leave
Greater London,66.48244292255325,Leave
Northern Ireland,65.12944398732978,Leave
Wales,61.20312800344022,Remain
Yorkshire,72.67948852857242,Remain
Yorkshire,77.91240220097801,Leave
Yorkshire,78.44137827135333,Leave
West Midlands,65.44281650957481,Remain
West Midlands,61.08849333227569,Leave
West Midlands,74.97033922897417,Leave
Scotland,64.86365626904231,Leave
North East,69.57409896643236,Remain
East Midlands,72.11038973784405,Leave
Yorkshire,75.42800902324599,Leave
Yorkshire,70.52397195167626,Remain
Wales,66.09679614163538,Remain
West Midlands,75.84207766328535,Leave
West Midlands,60.93462572171373,Leave
Scotland,73.67211194790465,Remain
Wales,63.45682031804384,Remain
East Midlands,75.07304303636768,Leave
South East,69.66711728087992,Remain
North East,70.87580307200774,Remain
West Midlands,72.50165970908854,Remain
North East,66.39325613407583,Remain
Scotland,62.43320369356757,Leave
Scotland,72.40747221657186,Remain
Scotland,72.27297628068067,Remain
South East,66.99487215122741,Leave
Wales,72.52411932382712,Remain
Northern Ireland,77.5214408428116,Leave
Wales,67.05043498740417,Leave
Yorkshire,77.821542670768,Remain
Northern Ireland,74.49404097508136,Leave
West Midlands,61.57998860612635,Leave
South East,74.52319601008944,Remain
Northern Ireland,77.41199318782965,Leave
South East,73.58257805554311,Leave
Yorkshire,72.88941827308983,Leave
Wales,70.0433092385057,Leave
Greater London,65.14396555287003,Remain
Northern Ireland,74.47022814602661,Leave
Wales,74.29923864212068,Remain
West Midlands,60.45623218148597,Leave
West Midlands,76.59522661680353,Leave
West Midlands,69.29681419031562,Remain
Northern Ireland,67.91604139360857,Remain
Yorkshire,61.343785065798244,Remain
South East,61.10896802517421,Leave
North East,67.41914770172959,Remain
North East,62.991597524615884,Remain
East Midlands,63.928232054626676,Leave
Northern Ireland,76.02850662153723,Leave
North East,67.36659419713136,Remain
Wales,74.85453655425803,Leave
Yorkshire,68.83374854488486,Remain
Greater London,74.35113471455357,Remain
East Midlands,70.65960739706563,Leave
Scotland,75.33164200851925,Leave
West Midlands,65.55083213035991,Remain
Greater London,63.015995213363865,Remain
Greater London,74.96498985165978,Remain
Wales,65.81848173056785,Leave
Wales,72.33441706026738,Leave
West Midlands,63.94255699035293,Leave
Wales,73.60810045527072,Remain
West Midlands,60.656149554664154,Remain
Wales,75.64569804820931,Leave
Greater London,70.90027182600183,Leave
Northern Ireland,66.54618732649413,Leave
East Midlands,70.40371454516595,Remain
East Midlands,66.5246626149429,Leave
East Midlands,78.21104429135154,Remain
Northern Ireland,68.4041934231353,Remain
Yorkshire,69.85423343501307,Leave
East Midlands,61.14688682917561,Remain
North East,75.26967179816141,Remain
Greater London,72.0139898465616,Leave
Wales,72.01181641264441,Remain
Scotland,61.78538269137522,Leave
Greater London,60.41837384418272,Leave
Northern Ireland,75.21223889789505,Remain
Yorkshire,66.1646797909263,Leave
Scotland,76.44125444705773,Remain
Wales,68.86206865670873,Leave
Yorkshire,72.43827326694515,Remain
Scotland,72.43820748932717,Leave
Yorkshire,79.72706484964344,Remain
Yorkshire,61.63691990480859,Remain
West Midlands,62.5156920447184,Leave
Northern Ireland,76.81040408900802,Remain
Scotland,79.70536100019639,Remain
Yorkshire,64.89468903099002,Leave
Northern Ireland,67.80446289527073,Leave
West Midlands,79.51327362707653,Remain
Wales,69.02162276055883,Leave
Yorkshire,64.99612379702505,Leave
West Midlands,64.12827232501617,Remain
West Midlands,69.22575617733936,Leave
Northern Ireland,79.39671355737948,Remain
Northern Ireland,79.11618519192105,Remain
Greater London,79.86250403812264,Leave
Northern Ireland,61.35036019624739,Remain
South East,68.54397762038026,Leave
Scotland,63.24793223129125,Remain
Greater London,77.9269942145157,Remain
Greater London,70.51898666684482,Leave
Yorkshire,76.62509596673378,Leave
Scotland,71.25918370551564,Remain
Northern Ireland,77.38988971725938,Leave
Wales,69.86136898736946,Leave
Yorkshire,74.59782769332332,Leave
Scotland,62.48460810923363,Leave
Scotland,79.13775141396775,Remain
Yorkshire,60.2646097232378,Remain
Wales,64.41449531681727,Leave
Yorkshire,68.87369517664119,Remain
Scotland,79.295832977919,Leave
West Midlands,60.29053098878738,Remain
Yorkshire,72.61837730639037,Remain
Scotland,78.83090567787474,Remain
South East,74.4658157192093,Leave
Wales,64.3906197527389,Remain
North East,73.30313377448161,Remain
West Midlands,65.96824767520515,Remain
Wales,73.64083613077561,Leave
Northern Ireland,69.07603369468654,Leave
East Midlands,66.63403384647042,Leave
Yorkshire,78.22557619917653,Remain
South East,63.681946271292006,Remain
Northern Ireland,77.65137450432988,Leave
West Midlands,73.97473988690886,Remain
Greater London,65.01408856417237,Leave
Greater London,65.9912261713386,Leave
Wales,75.67994202617955,Leave
Scotland,72.0392508909338,Leave
South East,66.97002689295753,Remain
West Midlands,65.99925005795806,Remain
East Midlands,76.83174366495804,Leave
North East,65.06426224401058,Leave
Yorkshire,76.69987986370721,Leave
Yorkshire,62.93892258166031,Remain
North East,73.66020594066518,Remain
West Midlands,77.60778763237198,Leave
Northern Ireland,67.49258836033036,Remain
Scotland,75.71804715562864,Leave
East Midlands,63.20043005245555,Leave
Scotland,62.09474856393867,Remain
North East,79.52147818574508,Leave
Yorkshire,71.21977276649932,Leave
West Midlands,63.88492346656468,Leave
Northern Ireland,71.29364101749425,Remain
West Midlands,69.16854962421498,Leave
Yorkshire,76.67349247577741,Remain
West Midlands,63.402302850632395,Remain
Wales,70.23594970758144,Remain
East Midlands,64.02105387154336,Remain
West Midlands,69.11174860252027,Leave
Greater London,78.19941968132312,Leave
Wales,74.96695833777011,Leave
North East,64.92705885021512,Leave
Northern Ireland,65.99307752503775,Remain
South East,78.81326682174407,Leave
North East,76.91686899615163,Remain
West Midlands,75.85992113771555,Leave
Northern Ireland,77.62946366886048,Remain
Yorkshire,74.39278188757615,Leave
Yorkshire,72.70805312543219,Remain
West Midlands,62.20959219782282,Remain
East Midlands,79.49423053416342,Remain
South East,76.9504822802264,Remain
East Midlands,76.43759041642758,Remain
North East,74.16512204997213,Leave
Northern Ireland,79.49771094185638,Remain
Wales,73.42568932175617,Remain
Scotland,68.89260931189662,Leave
West Midlands,60.7810936098759,Leave
West Midlands,63.95978531611421,Remain
Northern Ireland,66.29596671775502,Leave
Greater London,76.17742241023451,Leave
Yorkshire,60.28824886192391,Leave
South East,63.89040685800308,Remain
Northern Ireland,64.19287574228531,Leave
West Midlands,63.3977017948656,Remain
Greater London,79.12471597082376,Leave
Yorkshire,64.07946772609269,Leave
North East,68.43986928089356,Remain
Wales,78.72111361360353,Remain
Yorkshire,61.752256614946035,Remain
South East,74.02671666578647,Leave
Scotland,78.45447916356369,Remain
North East,77.31932738116097,Leave
Wales,72.11295557051803,Leave
West Midlands,71.39159892201091,Remain
Northern Ireland,78.73624628833105,Leave
Greater London,60.279949898960375,Leave
North East,64.1109174141236,Remain
Scotland,65.29939616996236,Remain
South East,78.90068517593784,Remain
West Midlands,60.25928470679828,Remain
Northern Ireland,69.0938204182725,Leave
Northern Ireland,75.16067534218149,Remain
Scotland,77.03999632979591,Leave
Yorkshire,64.48327436648363,Remain
Northern Ireland,76.5926690059624,Leave
Northern Ireland,64.11301532160076,Remain
Yorkshire,60.50637520707924,Leave
Wales,73.77332559426628,Leave
Greater London,74.66367729100278,Leave
West Midlands,69.31760253538111,Leave
East Midlands,61.66688332022211,Remain
East Midlands,68.52390287058124,Leave
West Midlands,71.82654453082272,Leave
Scotland,73.82603659107585,Remain
East Midlands,76.22407150127293,Remain
North East,61.55665936024661,Remain
East Midlands,77.25395833984498,Leave
Northern Ireland,76.65997101681612,Remain
Greater London,79.69818941368564,Leave
Yorkshire,74.80795279056687,Leave
North East,78.35512229356226,Leave
Northern Ireland,76.4522034385223,Leave
East Midlands,79.19358587760314,Leave
Greater London,75.0256912611984,Leave
Scotland,71.70597512129639,Leave
Scotland,65.6060105797124,Remain
North East,73.02612631617816,Leave
Northern Ireland,68.84590414623219,Leave
Wales,63.88271570062685,Remain
North East,76.65818922034768,Leave
South East,62.28611182700395,Remain
Yorkshire,61.70005924366416,Leave
North East,69.7788636349662,Remain
Yorkshire,79.38601709966011,Leave
Greater London,60.54923844891344,Remain
Yorkshire,76.80035023109306,Remain
Scotland,77.67020071136605,Remain
West Midlands,67.34368823334692,Remain
Northern Ireland,68.81382488419082,Leave
Scotland,62.021893879517386,Leave
Yorkshire,79.5828393935285,Leave
North East,79.0449503039686,Leave
Scotland,69.38774216497455,Remain
East Midlands,63.763879075871955,Leave
Scotland,68.21345643986383,Leave
Wales,62.15412413094826,Remain
Scotland,65.86784045478606,Leave
Northern Ireland,73.95569119520302,Remain
South East,71.814320033928,Leave
Wales,66.55464889964284,Remain
Yorkshire,73.46537586289416,Remain
West Midlands,69.55599763252832,Remain
West Midlands,64.92936839663552,Leave
Greater London,77.4250603658147,Leave
North East,68.18299589130851,Leave
Scotland,71.92875825880242,Leave
Wales,61.45714164514813,Leave
Greater London,70.72490495991698,Leave
North East,74.74580331876993,Remain
West Midlands,73.50062057558983,Remain
North East,66.18173137379212,Leave
Northern Ireland,73.63350429355728,Leave
South East,71.89116904642803,Remain
East Midlands,66.37552282057172,Remain
East Midlands,69.30586531027978,Remain
Yorkshire,71.17186990426373,Leave
North East,68.2362802514954,Leave
Yorkshire,65.58487474689952,Remain
North East,62.260357429965524,Leave
Yorkshire,79.96607714403208,Leave
South East,62.86371525986668,Remain
Wales,69.76182823896997,Remain
Wales,61.12125608485409,Remain
Greater London,61.62366315344301,Remain
North East,71.57179879946202,Leave
Wales,66.52590591662636,Remain
East Midlands,77.75385201360493,Remain
Greater London,72.8198620947156,Remain
Scotland,64.73338128449542,Leave
Yorkshire,77.44245678636052,Leave
West Midlands,76.11340532021529,Remain
Greater London,79.35754911794258,Remain
Greater London,63.11518860228731,Remain
North East,66.21582576810664,Remain
Wales,79.15381613704447,Remain
Northern Ireland,78.52949069235001,Leave
West Midlands,71.14528912377097,Leave
South East,76.4372528846691,Remain
Yorkshire,71.43603177973512,Leave
Wales,65.19507114207767,Remain
Northern Ireland,73.4500528433143,Leave
West Midlands,71.02993852796676,Leave
North East,77.98708711388946,Leave
West Midlands,63.96480529444511,Leave
Wales,77.7512626291207,Remain
Greater London,71.95000970416494,Remain
Greater London,70.82440048497594,Remain
Greater London,60.345702006172786,Remain
West Midlands,75.39646866977633,Remain
North East,70.78369416983418,Leave
East Midlands,73.63688198224415,Leave
West Midlands,64.78254487511691,Remain
Scotland,73.98543492350136,Remain
East Midlands,63.25682012133775,Leave
Yorkshire,63.27780668116338,Remain
Wales,73.22448238032298,Leave
Wales,67.85875508216527,Remain
East Midlands,75.33078453295013,Leave
Yorkshire,63.21446956086089,Remain
South East,67.11326960997594,Leave
Northern Ireland,63.22893759918544,Leave
South East,74.78447652388657,Leave
East Midlands,70.92078368231516,Leave
West Midlands,72.67026532305138,Leave
West Midlands,65.83412853239915,Remain
Greater London,69.818248232473,Remain
Northern Ireland,71.9754245372591,Leave
North East,75.16511059021134,Leave
Yorkshire,70.59543003559175,Remain
Yorkshire,75.50939278497646,Remain
Scotland,63.87604946543827,Leave
South East,79.63511182302662,Leave
Wales,77.94714804197167,Leave
Northern Ireland,62.416182827516806,Leave
Greater London,75.61379307477418,Leave
East Midlands,70.15775654830443,Remain
North East,69.0680594864347,Remain
Northern Ireland,66.30554876742073,Remain
South East,61.132848556966316,Remain
North East,61.43516176030334,Remain
North East,72.68185808046437,Leave
North East,66.29147645603477,Remain
Greater London,63.25815202728895,Leave
West Midlands,77.2712094392455,Leave
Northern Ireland,61.229072678750626,Remain
South East,79.3417836136328,Leave
Wales,69.50236814821056,Remain
North East,74.95767718523925,Remain
Greater London,64.38549492124733,Remain
Yorkshire,77.27147037795618,Leave
West Midlands,70.50614343731024,Leave
South East,67.515875143964,Leave
North East,61.54931868546187,Leave
Northern Ireland,61.03708923260736,Leave
Northern Ireland,64.47136471526429,Leave
Scotland,77.22873149954111,Remain
North East,77.55645778889547,Leave
East Midlands,68.70745279930594,Leave
Scotland,74.66683281161409,Remain
Wales,68.35034411234933,Leave
Wales,69.78881750027985,Remain
North East,60.864378155891686,Remain
South East,69.7306714033403,Leave
Yorkshire,64.22597169834364,Remain
Wales,67.84180380716157,Leave
Greater London,60.33742219304112,Leave
Scotland,66.88379129188445,Remain
Northern Ireland,66.42714855650135,Leave
North East,63.8551922708256,Remain
West Midlands,79.95522922716106,Leave
Wales,69.82600975616552,Leave
North East,62.02128924951802,Leave
Yorkshire,79.886471636164,Remain
Yorkshire,63.52029653667514,Leave
Scotland,63.9633026018562,Remain
Yorkshire,78.7270654766698,Remain
Northern Ireland,64.73966924187619,Remain
Yorkshire,75.13212149509798,Remain
East Midlands,63.9682740342105,Leave
Wales,73.93963799215338,Remain
Wales,79.19412748994554,Leave
Wales,70.20117915511895,Leave
South East,76.97861119880905,Leave
North East,69.60963188315024,Leave
North East,75.81507372584034,Remain
Northern Ireland,70.86645051046683,Leave
West Midlands,76.07769888065482,Leave
Northern Ireland,72.69722892129366,Remain
Northern Ireland,64.38686702056222,Remain
North East,66.82237344642932,Leave
Scotland,60.14526291165872,Leave
Yorkshire,73.01083004846876,Leave
East Midlands,70.40668170556864,Remain
Scotland,70.88145424932836,Remain
Wales,63.847625149455496,Remain
North East,71.44108957520218,Remain
Scotland,74.18702757867331,Leave
Yorkshire,63.18850481499314,Leave
Scotland,69.58728673977893,Leave
West Midlands,65.23677059550796,Leave
South East,67.06450709502838,Leave
North East,65.60961951054153,Remain
Wales,68.71497457891772,Remain
Scotland,71.08332571981484,Leave
Greater London,60.37873534721004,Remain
Yorkshire,72.0642288081409,Remain
South East,72.18253511583956,Remain
Scotland,76.96218510657128,Remain
Greater London,74.99566858682613,Remain
Greater London,79.21734968288976,Remain
East Midlands,76.80064766880935,Remain
Yorkshire,63.23450673386438,Remain
North East,72.7186415418422,Leave
South East,69.47974119656054,Remain
Northern Ireland,72.36624169871567,Leave
Yorkshire,78.46222810332733,Remain
East Midlands,73.62058117452672,Remain
South East,68.45360067230698,Leave
North East,70.23775036671375,Remain
Yorkshire,75.70083763102095,Remain
South East,61.21414367235655,Remain
Scotland,65.94496529766869,Leave
Northern Ireland,69.57056735669758,Remain
Northern Ireland,65.94909818369382,Remain
Yorkshire,71.27855011483724,Leave
West Midlands,64.1249970511976,Remain
Greater London,68.08832482329075,Leave
West Midlands,64.20872198203647,Leave
Yorkshire,61.82790455839815,Leave
East Midlands,76.33230606310033,Leave
Scotland,71.92280627961087,Remain
Northern Ireland,77.0144989471573,Leave
Northern Ireland,62.648762153461604,Remain
Scotland,62.934224229049555,Remain
Greater London,78.61085025109243,Leave
West Midlands,60.529155307557026,Remain
West Midlands,63.27502902189481,Leave
Wales,63.53342793237606,Leave
Scotland,70.28444463983514,Leave
Yorkshire,72.70854035507969,Leave
South East,78.69855482667835,Leave
West Midlands,60.736794483946845,Leave
Northern Ireland,70.40561367861383,Remain
Yorkshire,78.59474018108982,Remain
East Midlands,67.73839786559209,Leave
Wales,60.85640102356945,Leave
South East,78.91924693277609,Leave
Greater London,71.95096158595373,Remain
Yorkshire,65.6721187208846,Leave
Northern Ireland,73.80198623553405,Remain
Greater London,61.575774690911096,Leave
Yorkshire,68.29766397829631,Leave
Greater London,70.11029929842404,Remain
East Midlands,63.101191262728605,Remain
Yorkshire,75.04395407486695,Leave
Scotland,62.25175579113162,Remain
West Midlands,63.8612151452121,Remain
Northern Ireland,65.66998001127557,Remain
South East,68.13626669351424,Remain
Northern Ireland,75.87180847379966,Leave
Yorkshire,61.5278311329356,Remain
North East,78.61397962691646,Leave
Northern Ireland,76.18618610169135,Leave
Wales,61.29673853575761,Leave
East Midlands,78.20517451554818,Remain
Wales,66.80278449499528,Leave
